Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2017-05-02,2297,2301.5,2280.1,2291.95,2289.57615,138870,3966,317953440,110539,79.6,21.4,-5.05
2017-04-28,2301.4,2302,2265.3,2272.1,2281.29003,100693,5284,229709937,43293,43,36.7,-29.3
2017-04-27,2320,2329.65,2285.05,2301.4,2318.312062,158805,4968,368159547,119196,75.06,44.6,-18.6
2017-04-26,2330.25,2341,2304,2310.45,2312.382676,153958,2632,356009812,119057,77.33,37,-19.8
2017-04-25,2331,2343.3,2303,2311.3,2314.15543,43042,5078,99605878,17106,39.74,40.3,-19.7
2017-04-24,2300,2337.05,2283.9,2329.1,2316.930395,54651,3100,126622563,15323,28.04,53.15,29.1
2017-04-21,2330,2335.45,2301.9,2311.2,2314.104548,23329,1560,53985745,9879,42.35,33.55,-18.8
2017-04-20,2318.9,2334,2292,2328.35,2312.925493,60531,3745,140003693,23051,38.08,42,9.45
2017-04-19,2285,2348.45,2255,2301.75,2299.746883,217145,9243,499378537,46393,21.36,93.45,16.75
2017-04-18,2325,2338.95,2302.5,2308.65,2320.841829,77726,4349,180389752,25450,32.74,36.45,-16.35
2017-04-17,2332.5,2333.05,2300,2320.85,2311.439907,47801,3362,110489139,12290,25.71,33.05,-11.65
2017-04-13,2400,2408,2321.35,2327.85,2343.840102,108494,5988,254292588,38845,35.8,86.65,-72.15
2017-04-12,2419.15,2427,2380.6,2394.2,2401.461413,30762,1698,73873756,10217,33.21,46.4,-24.95
2017-04-11,2420,2442,2410,2420.8,2427.130888,24265,1273,58894331,8855,36.49,32,0.8
2017-04-10,2430,2448,2408.1,2421.15,2433.836669,48766,3067,118688479,13884,28.47,39.9,-8.85
2017-04-07,2400,2430,2394.4,2427.1,2418.283445,37905,2414,91665034,12387,32.68,35.6,27.1
2017-04-06,2401.2,2410.05,2390,2399.75,2399.590243,23060,1451,55334551,7553,32.75,20.05,-1.45
2017-04-05,2417,2418.5,2395,2402.85,2402.655378,39272,2044,94357082,14291,36.39,23.5,-14.15
2017-04-03,2435,2435,2410,2413.3,2418.136681,28358,1548,68573520,14733,51.95,25,-21.7
2017-03-31,2439,2440,2414.85,2431.1,2426.436975,83943,2413,203682399,14976,17.84,25.15,-7.9
2017-03-30,2440,2465,2435,2443.75,2455.695647,61961,3314,152157358,32937,53.16,30,3.75
2017-03-29,2431.25,2447.9,2426.55,2443.75,2439.311017,30172,2010,73598892,14289,47.36,21.35,12.5
2017-03-28,2412.1,2441.85,2412.1,2429.85,2432.01441,31020,1762,75441087,14333,46.21,29.75,17.75
2017-03-27,2428,2441,2407,2412.1,2418.080251,81744,3981,197663552,47689,58.34,34,-15.9
2017-03-24,2465,2470,2423.7,2426.75,2438.31951,152812,4851,372604481,114949,75.22,46.3,-38.25
2017-03-23,2478,2486,2448.5,2458.9,2463.265779,64358,4207,158530859,28052,43.59,37.5,-19.1
2017-03-22,2487,2495,2470,2479.1,2480.580624,55740,2103,138267564,31208,55.99,25,-7.9
2017-03-21,2482,2493.9,2466,2486.15,2482.644348,47808,2161,118690261,25471,53.28,27.9,4.15
2017-03-20,2518,2523.4,2467.05,2480.8,2488.758364,54189,4071,134863327,21113,38.96,56.35,-37.2
2017-03-17,2548,2548,2512.45,2526.85,2523.880884,179229,2802,452352647,142852,79.7,35.55,-21.15
2017-03-16,2501,2525,2501,2518.95,2517.024873,33932,2344,85407688,7846,23.12,24,17.95
2017-03-15,2565,2570,2496.05,2500.3,2512.120689,60544,4639,152093835,16655,27.51,73.95,-64.7
2017-03-14,2550,2584,2550,2562.35,2572.161249,395661,4276,1017703892,360074,91.01,34,12.35
2017-03-10,2525,2548.5,2519.5,2541.8,2535.57675,67029,2303,169957174,47609,71.03,29,16.8
2017-03-09,2513.9,2524.9,2503.5,2519.55,2516.097367,77480,2131,194947224,57777,74.57,21.4,5.65
2017-03-08,2499,2520,2492,2513.9,2505.430368,79532,3095,199261888,54503,68.53,28,14.9
2017-03-07,2472,2507.45,2472,2500.7,2495.43551,48798,4577,121772262,19121,39.18,35.45,28.7
2017-03-06,2475,2482.45,2454.9,2470.65,2463.973758,208634,3824,514068701,158037,75.75,27.55,-4.35
2017-03-03,2501,2501,2476,2492.35,2488.574617,34818,2145,86647191,9688,27.82,25,-8.65
2017-03-02,2480,2510,2479.1,2501.15,2497.300108,110077,9157,274895304,48841,44.37,30.9,21.15
2017-03-01,2484,2501,2471.4,2480.05,2488.034792,39981,3328,99474119,15109,37.79,29.6,-3.95
2017-02-28,2488.9,2491.25,2451.55,2466.5,2466.63761,37777,2992,93182169,9082,24.04,39.7,-22.4
2017-02-27,2481,2500,2473.05,2488.9,2488.513813,60956,4081,151689848,13687,22.45,26.95,7.9
2017-02-23,2410,2491,2410,2481.65,2465.449011,115318,7765,284310649,42879,37.18,81,71.65
2017-02-22,2465,2471.45,2402,2409.55,2423.616182,128759,8269,312062396,42973,33.37,69.45,-55.45
2017-02-21,2516,2525,2455.2,2464.3,2482.905692,323885,14861,804175910,138563,42.78,69.8,-51.7
2017-02-20,2419,2555,2412,2506.5,2490.57726,198006,10189,493149241,71302,36.01,143,87.5
2017-02-17,2452.05,2474,2402.15,2408.15,2423.517498,85954,4545,208311023,27007,31.42,71.85,-43.9
2017-02-16,2450,2477.5,2436.3,2446.9,2451.154222,151010,7889,370148799,72573,48.06,41.2,-3.1
2017-02-15,2400,2427,2378.35,2415.7,2407.413866,62426,3693,150285218,19290,30.9,48.65,15.7
2017-02-14,2414,2415,2396.5,2402.95,2408.458414,57099,2563,137520567,16776,29.38,18.5,-11.05
2017-02-13,2403.3,2425,2382.75,2410.3,2409.06108,89326,5339,215191790,16168,18.1,42.25,7
2017-02-10,2304,2420.9,2304,2396.7,2369.831874,121516,8256,287972490,37591,30.94,116.9,92.7
2017-02-09,2270,2330.9,2269,2324.25,2312.418304,492207,6511,1138188476,443501,90.1,61.9,54.25
2017-02-08,2240,2281,2240,2262.65,2267.52079,86098,5021,195229005,44294,51.45,41,22.65
2017-02-07,2241,2250,2226,2244.8,2242.459016,61122,3691,137063580,28761,47.06,24,3.8
2017-02-06,2248.2,2254.4,2216,2240.55,2232.614132,68526,3377,152992116,27398,39.98,38.4,-7.65
2017-02-03,2205.8,2242,2192,2233.75,2220.118392,80242,4786,178146740,24155,30.1,50,27.95
2017-02-02,2170,2218.9,2154.3,2205.8,2183.478223,146440,11320,319748551,31108,21.24,64.6,35.8
2017-02-01,2224.35,2239.95,2162,2169.45,2174.228936,304718,10736,662526693,176993,58.08,77.95,-54.9
2017-01-31,2334,2334,2206.55,2229.9,2237.413685,223883,12519,500918888,78652,35.13,127.45,-104.1
2017-01-30,2340,2348.05,2322.05,2334.2,2333.059987,90386,2205,210875960,68226,75.48,26,-5.8
2017-01-27,2350,2377.3,2347.5,2358.05,2363.298542,44868,3265,106036479,13395,29.85,29.8,8.05
