Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2015-03-20,273.3,273.5,264.6,268.4,267.2318058,247854,5408,66234472,81077,32.71,8.9,-4.9
2015-03-19,281.6,282.85,270.1,273,276.6909709,273327,5566,75627113,76979,28.16,12.75,-8.6
2015-03-18,283.25,284.05,277.1,278.75,279.1252363,205747,3723,57429180,74486,36.2,6.95,-4.5
2015-03-17,276.6,285,275.95,283.25,280.7732001,257434,6746,72280568,70300,27.31,9.05,6.65
2015-03-16,275,276.5,269.4,274.15,272.4686602,242152,6866,65978831,45381,18.74,7.1,-0.85
2015-03-13,291.85,291.85,276.4,277.65,282.0673971,241880,5967,68226462,81278,33.6,15.45,-14.2
2015-03-12,287.15,291.3,283.35,289.75,287.4544402,301505,4784,86668951,54055,17.93,7.95,2.6
2015-03-11,295.6,296.95,284.05,285.4,287.3317348,362196,8789,104070405,126937,35.05,12.9,-10.2
2015-03-10,288.5,297,287.4,294.9,291.9952539,236403,7531,69028554,63854,27.01,9.6,6.4
2015-03-09,292,296,285.15,286.55,289.1997788,320905,7556,92805655,54294,16.92,10.85,-5.45
2015-03-05,291,293.1,285,291.85,289.6815654,331616,7664,96063042,65746,19.83,8.1,0.85
2015-03-04,295.7,296.5,284.6,288.8,289.9075,369092,10175,107002539,77263,20.93,11.9,-6.9
2015-03-03,285.2,297,283.4,293.2,291.9890106,1159757,26626,338636299,138901,11.98,13.6,8
2015-03-02,280,281.85,268.65,271.95,274.7791681,468800,13450,128816474,131446,28.04,13.2,-8.05
2015-02-28,284.25,284.8,270.6,277.95,276.6802519,455174,11213,125937657,58299,12.81,14.2,-6.3
2015-02-27,276.5,282.6,272.1,281.7,277.9996105,308087,9637,85648066,72026,23.38,10.5,5.2
2015-02-26,272.05,273.85,261.2,270.5,265.8074331,566328,12013,150534192,158146,27.92,12.65,-1.55
2015-02-25,269.7,275.1,266.95,271.05,271.4391717,558852,11336,151694324,129868,23.24,8.15,1.35
2015-02-24,290.1,290.8,267.8,269.8,276.894423,534387,12009,147968780,138254,25.87,23,-20.3
2015-02-23,297.85,297.85,288,289.4,293.0306967,301107,7546,88233594,91256,30.31,9.85,-8.45
2015-02-20,297.45,299.5,292.75,295.3,294.8918902,942579,5964,277958903,718569,76.23,6.75,-2.15
2015-02-19,302.35,302.5,290.5,294.85,295.1811644,866423,7565,255751750,552670,63.79,12,-7.5
2015-02-18,302.4,304.65,299.95,301.25,302.2752986,375861,4675,113613496,239839,63.81,4.7,-1.15
2015-02-16,308,310.15,301,302.4,304.0546461,229385,9530,69745575,70741,30.84,9.15,-5.6
2015-02-13,302,310.8,302,307.45,308.0140048,235491,6673,72534526,41884,17.79,8.8,5.45
2015-02-12,305,306.4,301.2,304.95,303.9960304,288943,7372,87837525,66828,23.13,5.2,-0.05
2015-02-11,295,304,293.55,301.2,297.9979282,268842,7062,80114359,64820,24.11,10.45,6.2
2015-02-10,292.5,297.4,286.6,294.85,293.3816332,331795,8193,97342559,39263,11.83,10.8,2.35
2015-02-09,292,297.15,287.1,294.45,294.097595,416968,11935,122629286,131824,31.61,10.05,2.45
2015-02-06,292.95,295.85,285.2,292.9,291.775486,283822,7892,82812302,42174,14.86,10.65,-0.05
2015-02-05,296.75,303.4,290,293.1,298.5155059,475979,13567,142087112,106259,22.32,13.4,-3.65
2015-02-04,287,297.4,284.6,294.3,293.2914518,673789,17281,197616554,174130,25.84,12.8,7.3
2015-02-03,285,298.55,280.35,285.6,290.0801328,974657,24684,282728632,149562,15.35,18.2,0.6
2015-02-02,307.5,308.2,283.7,286.25,295.0107778,589082,14235,173785539,176014,29.88,24.5,-21.25
2015-01-30,311,314.65,306,308.15,310.178978,264485,5765,82037687,59786,22.6,8.65,-2.85
2015-01-29,312,313.3,309,310.15,310.6925831,139628,3443,43381384,38256,27.4,4.3,-1.85
2015-01-28,308.5,316.45,308.25,312,311.9922106,246747,7291,76983142,58972,23.9,8.2,3.5
2015-01-27,308.2,314.75,307,308.15,310.4542085,290600,7092,90217993,75428,25.96,7.75,-0.05
2015-01-23,302.2,309.4,300.2,306.15,306.1083815,364158,11077,111471816,82430,22.64,9.2,3.95
2015-01-22,304,305,297,300.65,300.63802,316954,9133,95288423,55660,17.56,8,-3.35
2015-01-21,311,311.95,298.25,300.85,303.4636896,351084,10161,106541246,84901,24.18,13.7,-10.15
2015-01-20,311,313.75,305.6,309.05,309.7468244,287192,7691,88956810,61987,21.58,8.15,-1.95
2015-01-19,319.4,322.3,307.95,308.85,313.2321141,425782,13921,133368596,144330,33.9,14.35,-10.55
2015-01-16,316.4,320.75,313.5,319.4,318.7179077,377777,9911,120404295,66888,17.71,7.25,3
2015-01-15,312,317.5,303.5,315.2,312.9156978,493973,13135,154571906,84432,17.09,14,3.2
2015-01-14,309,313.4,306.05,307.5,309.5221049,474238,17472,146787144,72225,15.23,7.35,-1.5
2015-01-13,302.4,312.25,301,308.45,307.605544,680664,17248,209376020,100717,14.8,11.25,6.05
2015-01-12,294.95,303.8,290.6,300.65,296.4269187,525367,15273,155732921,132780,25.27,13.2,5.7
2015-01-09,297.3,300.05,291.25,296.7,294.8691894,517420,14450,152571216,109711,21.2,8.8,-0.6
2015-01-08,282,297.9,282,295.8,290.8115508,722407,19214,210084300,154313,21.36,15.9,13.8
2015-01-07,270.7,280,269.35,278.55,275.3821471,555561,17362,152991581,129277,23.27,10.65,7.85
2015-01-06,270,275.8,264,268,270.6640074,608070,16231,164582663,168530,27.72,11.8,-2
2015-01-05,265.1,272,265,271.2,269.5535059,292725,7191,78905050,71225,24.33,7,6.1
2015-01-02,280.75,280.75,267.1,267.8,273.0320679,596733,13800,162927245,168089,28.17,13.65,-12.95
2015-01-01,269.35,278,266,276.85,274.235864,435450,10664,119416007,79285,18.21,12,7.5
