Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2016-08-10,1079.9,1086.05,1075.05,1079.95,1080.297271,127204,4876,137418134,43077,33.86,11,0.05
2016-08-09,1079,1084.25,1071.55,1081.5,1079.813945,136508,5687,147403242,51640,37.83,12.7,2.5
2016-08-08,1068,1082.6,1061.65,1078.8,1068.286983,1039761,5176,1110763142,954021,91.75,20.95,10.8
2016-08-05,1065,1074,1051,1067.4,1066.789106,234663,10329,250335932,97804,41.68,23,2.4
2016-08-04,1090,1090,1070,1072.15,1076.335799,208434,7333,224344976,110033,52.79,20,-17.85
2016-08-03,1085,1087.25,1072,1085,1081.056188,160694,6230,173719243,65917,41.02,15.25,0
2016-08-02,1089.9,1089.9,1076.05,1084.3,1081.253133,196367,7478,212322434,105949,53.95,13.85,-5.6
2016-08-01,1074,1087.5,1069,1085,1078.624417,291579,11537,314504229,133150,45.67,18.5,11
2016-07-29,1078,1078,1067,1073.95,1073.10325,240309,5846,257876369,147145,61.23,11,-4.05
2016-07-28,1087.55,1087.55,1076.05,1079.2,1079.571032,331025,6205,357365001,231709,70,11.5,-8.35
2016-07-27,1088.7,1097.1,1080,1087.55,1085.629359,375417,10468,407563717,179348,47.77,17.1,-1.15
2016-07-26,1080,1089.8,1074,1088.8,1086.608757,238182,6081,258810647,152903,64.2,15.8,8.8
2016-07-25,1065,1083,1065,1080.5,1074.02609,223034,7590,239544335,95790,42.95,18,15.5
2016-07-22,1075,1077.45,1067,1072.65,1070.802279,229748,10060,246014682,112734,49.07,10.45,-2.35
2016-07-21,1080,1087,1075.5,1080.35,1081.897923,966766,7620,1045942127,853037,88.24,11.5,0.35
2016-07-20,1071,1089.5,1070,1083.05,1081.91209,260461,9808,281795905,125011,48,19.5,12.05
2016-07-19,1086.5,1089,1075,1086.3,1081.967327,693722,9889,750584538,518618,74.76,14,-0.2
2016-07-18,1075,1084.45,1056,1081.7,1070.674587,949800,24398,1016926723,580374,61.1,28.45,6.7
2016-07-15,1186.35,1195,1058.3,1072.25,1086.325394,2710883,121133,2944901044,1008017,37.18,136.7,-114.1
2016-07-14,1195,1195.05,1165.2,1175.85,1179.052919,243844,10041,287504980,79826,32.74,29.85,-19.15
2016-07-13,1180,1195,1175.1,1193.15,1186.352177,132209,7002,156846435,54484,41.21,19.9,13.15
2016-07-12,1174,1180,1168,1176,1174.352391,93277,4172,109540068,34177,36.64,12,2
2016-07-11,1165,1178,1160.5,1174.85,1169.920709,126988,6736,148565891,44516,35.06,17.5,9.85
2016-07-08,1177.2,1177.2,1153.2,1158.75,1161.992362,1305599,4558,1517096066,1234536,94.56,24,-18.45
2016-07-07,1175.45,1175.45,1155,1157.2,1160.419984,167697,9614,194598950,70120,41.81,20.45,-18.25
2016-07-05,1185,1185.5,1171.55,1175.45,1177.111601,73198,3924,86162215,31913,43.6,13.95,-9.55
2016-07-04,1176,1194.8,1176,1184.25,1186.222877,159245,5680,188900062,86085,54.06,18.8,8.25
2016-07-01,1180,1180.55,1170,1172.1,1174.475205,97337,5179,114319893,41841,42.99,10.55,-7.9
2016-06-30,1192.7,1192.7,1168.1,1170.75,1174.913344,145080,6288,170456428,72244,49.8,24.6,-21.95
2016-06-29,1165,1179.35,1161.25,1176.55,1170.315997,119789,5447,140190983,48224,40.26,18.1,11.55
2016-06-28,1166.25,1173,1156,1161.05,1161.695217,187648,7361,217989784,82168,43.79,17,-5.2
2016-06-27,1176,1179.8,1160,1166.25,1170.743196,192742,8803,225651385,80876,41.96,19.8,-9.75
2016-06-24,1199,1199,1159,1194.5,1186.685789,227077,8734,269469049,86988,38.31,40,-4.5
2016-06-23,1199.9,1214.65,1193.45,1211.55,1202.856697,159955,6162,192402943,79139,49.48,21.2,11.65
2016-06-22,1197.25,1211.7,1190,1198.55,1198.694282,76515,3564,91718093,33704,44.05,21.7,1.3
2016-06-21,1209,1215,1196.5,1205.9,1203.441472,120352,3874,144836588,73827,61.34,18.5,-3.1
2016-06-20,1178.2,1211.9,1177.9,1208.6,1199.508299,144354,7121,173153821,72362,50.13,34,30.4
2016-06-17,1190,1191.4,1175.1,1178.3,1179.13343,103455,5517,121987249,42729,41.3,16.3,-11.7
2016-06-16,1193.7,1193.7,1170.5,1186.2,1179.539119,161237,5681,190185349,77893,48.31,23.2,-7.5
2016-06-15,1180,1191.15,1179,1189.2,1184.868739,126892,4726,150350364,59985,47.27,12.15,9.2
2016-06-14,1183.1,1184.9,1167.75,1175.2,1173.438277,99403,4635,116643285,34223,34.43,17.15,-7.9
2016-06-13,1176,1185.8,1166.25,1182.55,1176.583543,121513,6349,142970196,36782,30.27,19.55,6.55
2016-06-10,1175.5,1190,1170.9,1180.8,1181.395439,247826,11473,292780506,100353,40.49,19.1,5.3
2016-06-09,1228.9,1228.9,1181.1,1185.45,1192.937844,495595,25762,591214031,223877,45.17,47.8,-43.45
2016-06-08,1260,1264.95,1236,1238.3,1243.881066,202263,6836,251591116,102116,50.49,28.95,-21.7
2016-06-07,1267,1272,1255.35,1257.2,1261.130825,295440,13011,372588491,180270,61.02,16.65,-9.8
2016-06-06,1270,1277.25,1260.05,1267.1,1269.307184,49192,3135,62439759,16219,32.97,17.2,-2.9
2016-06-03,1264,1278,1263.45,1266.45,1270.058019,63514,4269,80666465,17759,27.96,14.55,2.45
2016-06-02,1253,1274,1253,1260.25,1264.151671,105795,5250,133740926,48457,45.8,21,7.25
2016-06-01,1241,1267.5,1241,1256.45,1257.619501,87677,4720,110264305,37002,42.2,26.5,15.45
2016-05-31,1268,1268,1239,1249.85,1249.181076,72964,4798,91145248,15180,20.8,29,-18.15
