Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2015-10-21,2665,2665,2592.2,2619.05,2625.609154,44987,3980,118118279,7128,15.84,72.8,-45.95
2015-10-20,2590.05,2625,2589.05,2605.05,2603.093652,28467,2768,74102267,3176,11.16,35.95,15
2015-10-19,2582,2622,2565,2613.55,2603.853016,15403,1579,40107148,4470,29.02,57,31.55
2015-10-16,2567.45,2598,2559,2586.85,2578.231282,16041,1320,41357408,4308,26.86,39,19.4
2015-10-15,2524,2578.6,2501.1,2567.45,2553.152129,15500,1445,39573858,5280,34.06,77.5,43.45
2015-10-14,2538,2548.5,2493.7,2505.75,2509.806779,10651,1226,26731952,1572,14.76,54.8,-32.25
2015-10-13,2547,2562,2525.05,2538.85,2539.366924,13605,1054,34548087,2693,19.79,36.95,-8.15
2015-10-12,2575,2596.2,2540.1,2547.65,2566.782807,16193,1248,41563914,3414,21.08,56.1,-27.35
2015-10-09,2560,2583,2554.4,2565.25,2568.275039,14867,1062,38182545,1745,11.74,28.6,5.25
2015-10-08,2539,2561.85,2524.65,2539.6,2538.220218,15798,1260,40098803,3253,20.59,37.2,0.6
2015-10-07,2523.6,2554,2495.95,2539.2,2529.725946,24663,2135,62390631,2356,9.55,58.05,15.6
2015-10-06,2515,2550,2512.4,2532.55,2526.902119,22231,1925,56175561,3283,14.77,37.6,17.55
2015-10-05,2439.9,2516,2435.7,2501.65,2478.436169,22207,2096,55038632,6332,28.51,80.3,61.75
2015-10-01,2395,2470.95,2393.6,2413.35,2421.994123,46966,3735,113751376,8583,18.27,77.35,18.35
2015-09-30,2344.4,2410,2313.7,2395.65,2351.481128,20824,2122,48967243,4100,19.69,96.3,51.25
2015-09-29,2350,2370,2305,2331.7,2332.5379,33958,1582,79208322,15150,44.61,65,-18.3
2015-09-28,2400,2400,2339,2350.75,2352.398355,13980,1321,32886529,4143,29.64,61,-49.25
