Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2015-03-09,15986.4,15986.4,15621.15,15692.35,15828.49349,10296,3301,162970169,5697,55.33,365.25,-294.05
2015-03-05,16114,16178,15864.4,15996,16008.58119,5019,3432,80347069,726,14.47,313.6,-118
2015-03-04,15301,16226.05,15111,16050.15,15171.94833,1387658,36557,21053475470,1273490,91.77,1115.05,749.15
2015-03-03,16392,16392,15682.35,15891.3,15922.14129,12789,7667,203628265,2894,22.63,709.65,-500.7
2015-03-02,16510,16699,16160,16515.85,16518.98039,8516,4881,140675637,2043,23.99,539,5.85
2015-02-28,15992,16275,15461.15,16226.6,15841.22818,10058,7334,159331073,1566,15.57,813.85,234.6
2015-02-27,15235.2,15838.65,15235.2,15808.05,15616.21585,23975,4298,374398775,19133,79.8,603.45,572.85
2015-02-26,15500,15675,15100,15213.8,15333.58887,6144,3842,94209570,1719,27.98,575,-286.2
2015-02-25,15781.15,16021.15,15500,15612.65,15694.36461,9465,2724,148547161,6125,64.71,521.15,-168.5
2015-02-24,16000,16047.5,15701,15813.3,15866.51637,6077,3005,96420820,1392,22.91,346.5,-186.7
2015-02-23,16399,16417,15930.2,16004.9,16115.40702,4926,3548,79384495,1822,36.99,486.8,-394.1
2015-02-20,16580.5,16800,16350,16373,16540.16955,2949,2003,48776960,856,29.03,450,-207.5
2015-02-19,17082,17200,16517,16678.4,16798.81152,7046,4128,118364426,2002,28.41,683,-403.6
2015-02-18,16302,17012.65,16302,16938,16710.61966,9899,6663,165418424,2681,27.08,710.65,636
2015-02-16,16660,16880,15989.7,16109.45,16305.40796,8643,5829,140927641,1511,17.48,890.3,-550.55
2015-02-13,16550,16876.35,15406.5,16242,16355.60821,15253,9968,249472092,2333,15.3,1469.85,-308
2015-02-12,16201,16600,16074.1,16407.15,16342.89757,7293,4694,119188752,914,12.53,525.9,206.15
2015-02-11,15293.9,16200,15280.95,16134.6,15789.80285,7928,4649,125181557,1199,15.12,919.05,840.7
2015-02-10,15049.1,15520,14777,15188.45,15205.18689,4853,3324,73790772,1025,21.12,743,139.35
2015-02-09,15639,15639,15049,15113.9,15286.7482,4583,3347,70059167,1363,29.74,590,-525.1
2015-02-06,15876.9,15960.3,15520.1,15584.55,15674.8175,2652,1803,41569616,585,22.06,440.2,-292.35
2015-02-05,15863,16080,15750.05,15813.75,15921.51939,3094,2528,49261181,672,21.72,329.95,-49.25
2015-02-04,16323.55,16386.65,15819,15927.65,16089.05812,2426,1839,39032055,816,33.64,567.65,-395.9
2015-02-03,16550,16700,16229,16320.1,16451.06516,2870,2147,47214557,1002,34.91,471,-229.9
2015-02-02,16397,16895,16388,16589.6,16660.94986,6562,4346,109329153,1633,24.89,507,192.6
2015-01-30,16486,16650,16041.05,16303.5,16356.39844,3195,2329,52258693,921,28.83,608.95,-182.5
2015-01-29,16400.5,16649,16320.2,16455.9,16448.78736,5540,3993,91126282,1559,28.14,328.8,55.4
2015-01-28,16125,16450.65,16000,16340.6,16188.84819,5296,3792,85736140,1611,30.42,450.65,215.6
2015-01-27,15262,16184,15100,16086.3,15780.92981,8933,5365,140971046,2556,28.61,1084,824.3
2015-01-23,15362,15407.5,15125.05,15186.1,15211.52244,2161,1188,32872100,924,42.76,282.45,-175.9
2015-01-22,15370.1,15393.7,15230.05,15286.35,15318.25298,1676,902,25673392,810,48.33,163.65,-83.75
2015-01-21,15567.95,15567.95,15250,15360.75,15360.24831,2360,1597,36250186,945,40.04,317.95,-207.2
2015-01-20,15507.8,15582,15410,15468.85,15507.74441,1432,986,22207090,352,24.58,172,-38.95
2015-01-19,15425,15580,15354.7,15466.1,15469.92166,2170,1699,33569730,689,31.75,225.3,41.1
2015-01-16,15118.95,15387.75,15016.05,15330.5,15299.92216,2428,1961,37148211,506,20.84,371.7,211.55
2015-01-15,15059.65,15270,14842.6,15122.6,15093.2254,3354,2304,50622678,1261,37.6,427.4,62.95
2015-01-14,14848.15,14939.95,14711.2,14831.2,14823.98259,2125,1396,31500963,696,32.75,228.75,-16.95
2015-01-13,14823.75,14950,14700,14800.7,14841.72438,1883,1304,27946967,527,27.99,250,-23.05
2015-01-12,14742,15150,14600,14871.85,14890.84,4050,2760,60307902,961,23.73,550,129.85
2015-01-09,14900,14978,14560,14727.1,14794.81851,1934,1386,28613179,530,27.4,418,-172.9
2015-01-08,15082,15141.7,14800.05,14877.8,14946.44814,3519,1954,52596551,1679,47.71,341.65,-204.2
2015-01-07,14610,15000,14610,14945.55,14864.45396,2465,1628,36640879,785,31.85,390,335.55
2015-01-06,15000,15000,14655.05,14753.1,14813.51232,2395,2188,35478362,699,29.19,344.95,-246.9
2015-01-05,14990,15245.05,14990,15133.55,15138.39453,2963,1576,44855063,1279,43.17,255.05,143.55
2015-01-02,15402,15460,14978.05,15065.55,15200.96467,3481,2107,52914558,1380,39.64,481.95,-336.45
2015-01-01,14975.2,15350,14975.2,15239.15,15237.31918,3910,2526,59577918,951,24.32,374.8,263.95
